sample,snr,signal
0.10675606593588438,-10,"[-0.10093987  0.10999306 -0.25375125  0.26013261 -0.77425847  0.27216493
  0.20012803  0.63071215  0.56077583  0.26488049  0.21168593 -0.24812874
  0.7109451   0.87253502  0.13194956 -0.27214956  0.24132762  0.81672683
 -0.42191311 -0.11812644  0.27556358  0.12150859  0.62217675  0.05036571
 -0.01010989 -0.34470633  0.26931412 -0.13919074  0.12646893  0.26280156
 -0.96889084  0.02395399 -0.23309031  0.8735609  -0.88808831  0.76601864
  0.84174786  0.23793034  0.20485225  0.18555647 -0.08069638 -0.21294823
 -0.06460468 -0.90039793  0.2422349   0.27208467 -0.25220023  0.80941469
 -0.52100351  0.69232227 -0.04734359  0.22257334  0.03866736 -0.46794091
 -0.06260965 -0.31462741 -0.81279275 -0.98816954 -0.25060282  0.04397135]"
0.3356600647969632,-13,"[ 0.23983443  0.94673956 -0.80720653 -0.03736595  0.2309156  -0.20643549
 -0.8001873   0.22101729 -0.06501709  0.00429537  0.18202018 -0.24235369
  0.78244197  0.54964256  0.27043683 -0.64263174  0.11296209  0.44190041
  0.41858036 -0.14126768  0.75253546  0.99462193  0.26864913  0.58059745
 -0.37064477 -0.14448245 -0.03654185 -0.04443975  0.34104152  0.2401927
 -0.17144607 -0.81050309 -0.19618155  0.9512605   0.5822603   0.2198771
  0.26166022  0.64358538 -0.16905158 -0.11543747  0.07500955 -0.00213902
 -0.10900853 -0.25057973  0.26965955 -0.21129601 -0.42731077  0.24891664
 -0.92857423  0.00648936  0.96391442  0.9653272   0.26387831  0.1259405
  0.25674621  0.7457418   0.60964577 -0.21504899 -0.99362603 -0.68610683]"
0.16967990389556553,15,"[-0.45735051  0.92943822 -0.9418048   0.25396297  0.25211348 -0.24433701
 -0.73907536  0.92495197 -0.96927316 -0.24220452 -0.70063971 -0.53527698
 -0.2188023   0.5756157  -0.18765412  0.18311773 -0.5736713   0.69099809
  0.00950512 -0.2460743  -0.95508087  0.40974078  0.93147844  0.25961842
  0.6361209   0.9858155  -0.22254507 -0.88420794 -0.39778979  0.07995328
 -0.2689242  -0.03587499  0.0673699  -0.27122358  0.53780267  0.77448821
  0.27125459 -0.05458705 -0.72392558 -0.19320457 -0.96267317 -0.69614621
  0.97624075 -0.50567213 -0.27097842 -0.22957423  0.26494728  0.2647553
 -0.07520132 -0.20705153  0.72725348  0.0987717  -0.58487368  0.9977471
 -0.53855842  0.97455969  0.26568866 -0.12937873  0.00297989  0.06560827]"
0.6468483616687238,17,"[ 0.83848726 -0.90987449  0.31093616 -0.82862171 -0.6870374   0.40284279
  0.67220652  0.09193668 -0.19933801  0.79095903  0.09417073 -0.97420871
 -0.03400299  0.20680272 -0.11606031 -0.08064943  0.17259706  0.25056904
  0.45184022  0.27072194 -0.9920155   0.24056486 -0.09434575 -0.27021645
  0.85274334 -0.0484104   0.73764558 -0.67254097 -0.09086724  0.0589876
 -0.20835836 -0.71117661 -0.76301145 -0.23906613  0.18913557  0.13751043
 -0.81368816 -0.25392995 -0.86612145 -0.81290091 -0.49300129 -0.07648707
  0.44372679 -0.27128165 -0.25772404  0.41998113  0.08349537 -0.75378253
 -0.99915288  0.26606337  0.03223178 -0.03382738  0.72605412 -0.06992385
  0.77024043 -0.41547854  0.77857538  0.99601529 -0.05438797 -0.86257724]"
0.3882683839898722,19,"[ 0.24189583  0.88813012  0.24321937 -0.02271485 -0.45780867 -0.13623235
 -0.60065989 -0.99961949 -0.21448116  0.05560976  0.9293191  -0.18210216
 -0.89943289  0.1494712   0.99303351 -0.268454    0.98818276  0.22452399
 -0.4119115  -0.22036092 -0.85255    -0.05267048  0.24906578  0.75132272
  0.97886109  0.00912101  0.09713464  0.21102592  0.70581709 -0.1674069
  0.34711615  0.1380204  -0.90451893 -0.99672566  0.11943947  0.12561193
 -0.2807162   0.97538163  0.04456149 -0.01295978  0.26716118 -0.26479101
 -0.27153636  0.64043688 -0.22957554 -0.12662629 -0.16265807 -0.36867257
 -0.10986986 -0.09141013 -0.24266365 -0.01163744  0.27081089 -0.928014
  0.26455203 -0.20092897 -0.21783999 -0.20297025  0.13367861  0.24006449]"
0.22939474570494967,-1,"[-0.66551224  0.99968018  0.88325989  0.14958417 -0.27137349  0.32315438
 -0.99874737 -0.05509165 -0.59913324 -0.14782546  0.20879917  0.23579099
  0.46242971  0.56267281  0.75031502  0.82371449  0.19982352  0.57072979
  0.43190347  0.988056   -0.09383518 -0.85572312  0.25456114  0.27096086
  0.0768015   0.61945856 -0.14552019  0.24370962 -0.23151971  0.99406303
  0.01566375  0.18370604  0.22218908  0.48432719  0.5601574   0.25805109
 -0.27088424 -0.22313678  0.23971054 -0.40801018  0.24655818  0.29212049
 -0.24727798  0.02803369  0.02958157  0.32416028  0.81150413 -0.27114219
  0.0698496  -0.9641576  -0.86990877  0.26735684 -0.65771414 -0.06742769
 -0.66059969 -0.88683691 -0.04084354  0.26820172 -0.26628922  0.1777638 ]"
0.26593792496423896,14,"[-0.16893732 -0.14985011 -0.06526412 -0.14155529 -0.11690938 -0.71408326
 -0.24970365  0.3522342   0.2503269  -0.11998096 -0.23941777  0.05530144
  0.03752358  0.00773648  0.96340119 -0.14018612 -0.19469721  0.07416606
 -0.44852213 -0.29640509 -0.87180596  0.23998775  0.16335749  0.06478261
 -0.50643991 -0.2623459  -0.09052811  0.44220239 -0.99934744 -0.12856574
 -0.93952684  0.15027325 -0.26564834 -0.1760069   0.01322399 -0.03837917
  0.04595013 -0.92531639 -0.23449069  0.75597986  0.59503112  0.2958451
  0.633006   -0.80998523 -0.27210156 -0.72590789  0.03420895  0.0819712
 -0.19276189 -0.96788622  0.10863365  0.49160661  0.05784915 -0.12191865
 -0.09769916 -0.11168608 -0.65180763  0.19583038 -0.61447645 -0.22752492]"
0.36034509520526825,4,"[-0.99756948  0.04504347 -0.14295699 -0.26178209 -0.9120287   0.01623188
  0.08800174  0.15352394 -0.95539018 -0.26374697  0.24631029 -0.57976753
 -0.5492868  -0.88068339  0.83966299  0.50655445  0.25529265 -0.89989331
  0.42857476 -0.2325323   0.26931171 -0.31675193  0.51038106  0.99952467
  0.24881569  0.98219692 -0.2659925  -0.68467933 -0.18166845  0.17928153
 -0.04461754  0.17312537 -0.40950028 -0.63252476  0.87439571  0.57510528
  0.89183075 -0.09317688  0.63131023 -0.33287264 -0.72300606  0.07912273
 -0.73271212 -0.07982175 -0.11496529  0.01956227  0.57305663  0.90211022
  0.17471521 -0.26450745 -0.22774656 -0.98226952  0.99968282 -0.18405507
 -0.99913335 -0.12026125  0.10940245 -0.80590206  0.97249924 -0.19634199]"
0.2599498628542627,14,"[-0.16893732 -0.14985011 -0.06526412 -0.14155529 -0.11690938 -0.71408326
 -0.24970365  0.3522342   0.2503269  -0.11998096 -0.23941777  0.05530144
  0.03752358  0.00773648  0.96340119 -0.14018612 -0.19469721  0.07416606
 -0.44852213 -0.29640509 -0.87180596  0.23998775  0.16335749  0.06478261
 -0.50643991 -0.2623459  -0.09052811  0.44220239 -0.99934744 -0.12856574
 -0.93952684  0.15027325 -0.26564834 -0.1760069   0.01322399 -0.03837917
  0.04595013 -0.92531639 -0.23449069  0.75597986  0.59503112  0.2958451
  0.633006   -0.80998523 -0.27210156 -0.72590789  0.03420895  0.0819712
 -0.19276189 -0.96788622  0.10863365  0.49160661  0.05784915 -0.12191865
 -0.09769916 -0.11168608 -0.65180763  0.19583038 -0.61447645 -0.22752492]"
0.45324084682883103,4,"[-0.99756948  0.04504347 -0.14295699 -0.26178209 -0.9120287   0.01623188
  0.08800174  0.15352394 -0.95539018 -0.26374697  0.24631029 -0.57976753
 -0.5492868  -0.88068339  0.83966299  0.50655445  0.25529265 -0.89989331
  0.42857476 -0.2325323   0.26931171 -0.31675193  0.51038106  0.99952467
  0.24881569  0.98219692 -0.2659925  -0.68467933 -0.18166845  0.17928153
 -0.04461754  0.17312537 -0.40950028 -0.63252476  0.87439571  0.57510528
  0.89183075 -0.09317688  0.63131023 -0.33287264 -0.72300606  0.07912273
 -0.73271212 -0.07982175 -0.11496529  0.01956227  0.57305663  0.90211022
  0.17471521 -0.26450745 -0.22774656 -0.98226952  0.99968282 -0.18405507
 -0.99913335 -0.12026125  0.10940245 -0.80590206  0.97249924 -0.19634199]"
0.032315951109650465,8,"[ 0.06185622  0.08888866 -0.91486547 -0.31951779 -0.26882917 -0.9987121
  0.16684027 -0.25437974 -0.22812271 -0.29507852  0.46161586 -0.13848609
  0.19873786 -0.27099736 -0.25223937  0.28464083  0.38719527 -0.27173009
 -0.44188002 -0.23494949  0.02713061 -0.65587177 -0.27690872  0.02753409
  0.18656996  0.15883398 -0.2634792   0.0547239   0.86854781  0.27030207
  0.08807066  0.79508218 -0.47977052  0.03783246  0.26952055 -0.14762344
  0.27215826  0.9615982   0.04008171  0.62652983  0.11646606  0.96463798
  0.13105324  0.1528475  -0.20896955 -0.99813791  0.15164846  0.27141078
 -0.26856907  0.28488853 -0.80386598  0.15854996 -0.02250362  0.27153166
  0.03713018 -0.93810406 -0.20084975 -0.22331516 -0.19074761 -0.71922923]"
0.2797635071689457,-3,"[-0.2721253  -0.99712365 -0.19760409 -0.61440892  0.84999996 -0.17371133
  0.98875722  0.19045099 -0.24010615  0.60584515 -0.26983474 -0.09614643
  0.05027375  0.20161694  0.21400986  0.04343564 -0.27150495  0.21115412
 -0.00190138 -0.89529009 -0.23780042  0.07357627 -0.99720838 -0.66947386
  0.20658105  0.2557292   0.59463057 -0.17584769  0.97067845 -0.94725831
 -0.04906401 -0.77918265  0.01408555  0.08689948  0.19853101 -0.9903881
  0.86783308  0.94488124 -0.13392416  0.04262764 -0.20806684 -0.21158856
  0.21655029 -0.09071017  0.08739646 -0.17236853  0.08085139  0.85908998
 -0.16795493  0.70212157  0.1346639  -0.54959066 -0.27140297  0.23968555
 -0.27177455  0.21538713  0.10829921 -0.92270143  0.52300189 -0.7510286 ]"
0.41120672087218624,-3,"[-0.2721253  -0.99712365 -0.19760409 -0.61440892  0.84999996 -0.17371133
  0.98875722  0.19045099 -0.24010615  0.60584515 -0.26983474 -0.09614643
  0.05027375  0.20161694  0.21400986  0.04343564 -0.27150495  0.21115412
 -0.00190138 -0.89529009 -0.23780042  0.07357627 -0.99720838 -0.66947386
  0.20658105  0.2557292   0.59463057 -0.17584769  0.97067845 -0.94725831
 -0.04906401 -0.77918265  0.01408555  0.08689948  0.19853101 -0.9903881
  0.86783308  0.94488124 -0.13392416  0.04262764 -0.20806684 -0.21158856
  0.21655029 -0.09071017  0.08739646 -0.17236853  0.08085139  0.85908998
 -0.16795493  0.70212157  0.1346639  -0.54959066 -0.27140297  0.23968555
 -0.27177455  0.21538713  0.10829921 -0.92270143  0.52300189 -0.7510286 ]"
